train_loss,train_acc,val_loss,val_acc,lr,model_params,MFLOPs,test_loss,test_acc,f1_score,recall
0.0001093886,1.0000000000,0.0041567098,0.9791666667,0.0005000000,7337002.0000000000,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0001552341,1.0000000000,0.0072490560,0.9427083333,0.0005000000,7337002.0000000000,270.2007040000,0.1624883111,0.9375000000,0.9357410914,0.9363704890
0.0000838662,1.0000000000,0.0043109052,0.9739583333,0.0005000000,7337002.0000000000,270.2007040000,0.2558907345,0.9270833333,0.9293956085,0.9290666509
0.0055609917,1.0000000000,0.0118868247,0.9375000000,0.0005000000,7337002.0000000000,270.2007040000,0.1665955931,0.9513888889,0.9479355784,0.9493558164
0.0001014095,1.0000000000,0.0067544591,0.9531250000,0.0005000000,7337002.0000000000,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0012021780,1.0000000000,0.0068715910,0.9572916667,0.0005000000,7337002.0000000000,270.2007040000,0.1990530026,0.9375000000,0.9358271080,0.9374435147
