train_loss,train_acc,val_loss,val_acc,lr,model_params,MFLOPs,test_loss,test_acc,f1_score,recall
0.0001292169,1.0000000000,0.0303058115,0.6927083333,0.0005000000,7337002.0000000000,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0011762441,1.0000000000,0.0329515589,0.6718750000,0.0005000000,7337002.0000000000,270.2007040000,0.8539728655,0.7222222222,0.7138451492,0.7300790291
0.0000615477,1.0000000000,0.0341896741,0.6979166667,0.0005000000,7337002.0000000000,270.2007040000,0.8045303689,0.7638888889,0.7476274429,0.7518847745
0.0000346296,1.0000000000,0.0372798129,0.6666666667,0.0005000000,7337002.0000000000,270.2007040000,1.0263080001,0.6423611111,0.6330370389,0.6375429975
0.0000413727,1.0000000000,0.0377980623,0.6875000000,0.0005000000,7337002.0000000000,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0002886022,1.0000000000,0.0345049839,0.6833333333,0.0005000000,7337002.0000000000,270.2007040000,0.8922994415,0.7013888889,0.6913968014,0.7001723637
