train_loss,train_acc,val_loss,val_acc,lr,model_params,MFLOPs,test_loss,test_acc,f1_score,recall
0.0452551670,0.7958333333,0.0297707347,0.9479166667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0203523039,0.9895833333,0.0160035460,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0089576794,0.9979166667,0.0102772467,0.9687500000,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0039195186,1.0000000000,0.0062017100,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0018660178,1.0000000000,0.0055267859,0.9687500000,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0011619335,1.0000000000,0.0045708866,0.9791666667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0008533244,1.0000000000,0.0035829000,0.9791666667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0006011127,1.0000000000,0.0043731456,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0004828732,1.0000000000,0.0038576770,0.9687500000,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0003699232,1.0000000000,0.0039087260,0.9791666667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0003356768,1.0000000000,0.0040520516,0.9687500000,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0003072574,1.0000000000,0.0028237419,0.9791666667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0002659247,1.0000000000,0.0034901786,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0001972613,1.0000000000,0.0050318934,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0001964966,1.0000000000,0.0036844112,0.9791666667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0001760584,1.0000000000,0.0035050872,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0001490076,1.0000000000,0.0027385597,0.9843750000,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0001360767,1.0000000000,0.0043258482,0.9687500000,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0001216907,1.0000000000,0.0038541249,0.9791666667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0001319641,1.0000000000,0.0037380920,0.9791666667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0001079992,1.0000000000,0.0034261630,0.9791666667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0001051988,1.0000000000,0.0039635781,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000763643,1.0000000000,0.0033395019,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000862169,1.0000000000,0.0045608055,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000729534,1.0000000000,0.0033134568,0.9791666667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000672339,1.0000000000,0.0027789153,0.9843750000,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000549648,1.0000000000,0.0025318956,0.9843750000,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000599838,1.0000000000,0.0036458158,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000525369,1.0000000000,0.0027699496,0.9895833333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000781732,1.0000000000,0.0035693952,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000557044,1.0000000000,0.0035446717,0.9843750000,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000778507,1.0000000000,0.0040602761,0.9791666667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000436304,1.0000000000,0.0032714097,0.9791666667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000420178,1.0000000000,0.0035653879,0.9791666667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000444891,1.0000000000,0.0038921196,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000445732,1.0000000000,0.0038958886,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000393567,1.0000000000,0.0037916014,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000375664,1.0000000000,0.0022938648,0.9739583333,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000381343,1.0000000000,0.0034831836,0.9791666667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0000348214,1.0000000000,0.0032670348,0.9791666667,0.0005000000,7337002,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
