train_loss,train_acc,val_loss,val_acc,lr,model_params,MFLOPs,test_loss,test_acc,f1_score,recall
0.0001074745,1.0000000000,0.0005818038,1.0000000000,0.0005000000,7337002.0000000000,270.2007040000,0.0190022895,0.9965277778,0.9968742369,0.9969696970
0.0198877973,0.9875000000,0.0138954509,1.0000000000,0.0005000000,7337002.0000000000,270.2007040000,0.0045660634,1.0000000000,1.0000000000,1.0000000000
0.0000498624,1.0000000000,0.0008550228,1.0000000000,0.0005000000,7337002.0000000000,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0034905895,1.0000000000,0.0040680461,1.0000000000,0.0005000000,7337002.0000000000,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0211333964,0.9729166667,0.0141034792,1.0000000000,0.0005000000,7337002.0000000000,270.2007040000,0.0049968065,1.0000000000,1.0000000000,1.0000000000
0.0089338240,0.9920833333,0.0067007606,1.0000000000,0.0005000000,7337002.0000000000,270.2007040000,0.0121122366,0.9979166667,0.9977969491,0.9978347190
