train_loss,train_acc,val_loss,val_acc,lr,model_params,MFLOPs,test_loss,test_acc,f1_score,recall
0.0469710457,0.7250000000,0.0370716099,0.8177083333,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0250851599,0.9375000000,0.0256699830,0.8802083333,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0118761266,0.9875000000,0.0161467784,0.9270833333,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0046766282,1.0000000000,0.0120881063,0.9166666667,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0023334586,1.0000000000,0.0103038300,0.9375000000,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0013640590,1.0000000000,0.0080495263,0.9479166667,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0009831654,1.0000000000,0.0093139016,0.9322916667,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0006839102,1.0000000000,0.0092572654,0.9218750000,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0005655659,1.0000000000,0.0081089045,0.9270833333,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0004291657,1.0000000000,0.0084799185,0.9322916667,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0003782741,1.0000000000,0.0066276418,0.9375000000,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0003019755,1.0000000000,0.0083690116,0.9166666667,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0002162077,1.0000000000,0.0088769955,0.9166666667,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0002585819,1.0000000000,0.0076476239,0.9375000000,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0001811593,1.0000000000,0.0080375572,0.9375000000,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0001641821,1.0000000000,0.0079116929,0.9114583333,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0001615999,1.0000000000,0.0078323010,0.9218750000,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0001486634,1.0000000000,0.0085700489,0.9270833333,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0001155829,1.0000000000,0.0070483467,0.9427083333,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0001136966,1.0000000000,0.0086565687,0.9218750000,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0001014095,1.0000000000,0.0067544591,0.9531250000,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0001012911,1.0000000000,0.0066252380,0.9375000000,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0000947874,1.0000000000,0.0072270480,0.9322916667,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0000921028,1.0000000000,0.0076924678,0.9270833333,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0000805524,1.0000000000,0.0075564407,0.9375000000,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0000776843,1.0000000000,0.0069488408,0.9322916667,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0000664202,1.0000000000,0.0070046538,0.9166666667,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0000599230,1.0000000000,0.0088081090,0.9270833333,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0000627367,1.0000000000,0.0083714931,0.9322916667,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0000595352,1.0000000000,0.0072479765,0.9218750000,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0000462439,1.0000000000,0.0097508891,0.9062500000,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0000510867,1.0000000000,0.0076700686,0.9427083333,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
0.0000599152,1.0000000000,0.0072143713,0.9270833333,0.0005000000,7337002,270.2007040000,0.1984928739,0.9409722222,0.9373463249,0.9402616207
