train_loss,train_acc,val_loss,val_acc,lr,model_params,MFLOPs,test_loss,test_acc,f1_score,recall
0.0037758836,1.0000000000,0.0073219615,0.9791666667,0.0005000000,7337002.0000000000,270.2007040000,0.0460694437,0.9861111111,0.9852005610,0.9847340598
0.0096179175,0.9937500000,0.0079436845,1.0000000000,0.0005000000,7337002.0000000000,270.2007040000,0.0561810404,0.9826388889,0.9811689059,0.9841555977
0.0000525369,1.0000000000,0.0027699496,0.9895833333,0.0005000000,7337002.0000000000,270.2007040000,0.0742174099,0.9826388889,0.9839944495,0.9839952889
0.0001134223,1.0000000000,0.0015455637,0.9947916667,0.0005000000,7337002.0000000000,270.2007040000,0.0442243232,0.9826388889,0.9826751903,0.9826190476
0.0043790791,0.9979166667,0.0054077879,0.9895833333,0.0005000000,7337002.0000000000,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0035877679,0.9983333333,0.0049977894,0.9906250000,0.0005000000,7337002.0000000000,270.2007040000,0.0502339896,0.9847222222,0.9845637511,0.9849771429
