train_loss,train_acc,val_loss,val_acc,lr,model_params,MFLOPs,test_loss,test_acc,f1_score,recall
0.0590479764,0.4541666667,0.0508865112,0.5312500000,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0366788701,0.8166666667,0.0401643136,0.6250000000,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0194206575,0.9666666667,0.0347599263,0.6875000000,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0082736347,0.9958333333,0.0321066345,0.6562500000,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0035375710,1.0000000000,0.0310711302,0.6562500000,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0018945221,1.0000000000,0.0302651615,0.6458333333,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0009605543,1.0000000000,0.0303104110,0.6718750000,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0008062373,1.0000000000,0.0335265283,0.6302083333,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0006467327,1.0000000000,0.0315409983,0.6770833333,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0004817575,1.0000000000,0.0306986912,0.6562500000,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0004220311,1.0000000000,0.0327108223,0.6458333333,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0003631646,1.0000000000,0.0316762369,0.6510416667,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0002696083,1.0000000000,0.0322887860,0.6562500000,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0002311975,1.0000000000,0.0316873876,0.6770833333,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0001954488,1.0000000000,0.0318635264,0.6562500000,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0002051233,1.0000000000,0.0330589159,0.6458333333,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0001347215,1.0000000000,0.0314719183,0.6718750000,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0001529745,1.0000000000,0.0307436582,0.6666666667,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0001292169,1.0000000000,0.0303058115,0.6927083333,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0001560070,1.0000000000,0.0317547889,0.6510416667,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0001013679,1.0000000000,0.0317749282,0.6354166667,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0001131018,1.0000000000,0.0329177945,0.6197916667,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0001089230,1.0000000000,0.0328821323,0.6354166667,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0000986082,1.0000000000,0.0328670132,0.6510416667,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0000743083,1.0000000000,0.0318952954,0.6562500000,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0000684055,1.0000000000,0.0322694850,0.6458333333,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0000591348,1.0000000000,0.0342430857,0.6458333333,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0000688269,1.0000000000,0.0341006663,0.6718750000,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0000598702,1.0000000000,0.0312126704,0.6666666667,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
0.0000719245,1.0000000000,0.0334869406,0.6562500000,0.0005000000,7337002,270.2007040000,0.8879693018,0.6875000000,0.6791145036,0.6830359441
